model,component,heads,sample_size_per_head,gengamma_median_ks,gengamma_iqr_ks_low,gengamma_iqr_ks_high,generalized_gamma_best_fit_share,lognormal_best_fit_share
distilgpt2,full,72,64,0.0822232608811129,0.07065260041986485,0.1039882560913277,0.9583333333333334,0.041666666666666664
distilgpt2,S_positive,72,64,0.050825919570901615,0.04041576137153241,0.06865576931834598,0.6666666666666666,0.3333333333333333
distilgpt2,S_negative,72,64,0.05530143949973214,0.04658912304466037,0.07327398315187822,0.8611111111111112,0.1388888888888889
distilgpt2,T,72,64,0.0665092964327175,0.04800280846183465,0.08413995273544642,0.8194444444444444,0.18055555555555555
gpt2,full,144,64,0.08861139435751658,0.07154464384289913,0.10464252424639031,0.9444444444444444,0.05555555555555555
gpt2,S_positive,144,64,0.0473724427708167,0.0387113267342338,0.07764392365563393,0.7222222222222222,0.2777777777777778
gpt2,S_negative,144,64,0.054337406440764846,0.04327781617178823,0.07333875182995767,0.8611111111111112,0.1388888888888889
gpt2,T,144,64,0.06464793037459675,0.04964481382842574,0.08474104915991287,0.8611111111111112,0.1388888888888889
gpt2-medium,full,384,64,0.08353981925879227,0.07132627546406975,0.10435913994007782,0.9140625,0.0859375
gpt2-medium,S_positive,384,64,0.053455644642714115,0.04390739655228061,0.07013235256108027,0.6588541666666666,0.3411458333333333
gpt2-medium,S_negative,384,64,0.05150551106547047,0.0433208575717053,0.06562561778330248,0.5546875,0.4453125
gpt2-medium,T,384,64,0.05382696973583275,0.04282788053529493,0.08068342768368299,0.671875,0.328125
gpt2-large,full,720,64,0.08130493491084588,0.0704328292340979,0.0960917438922055,0.9569444444444445,0.043055555555555555
gpt2-large,S_positive,720,64,0.05197676406141652,0.041721873534336956,0.06799673225724323,0.6333333333333333,0.36666666666666664
gpt2-large,S_negative,720,64,0.05048902909319461,0.04218670628630743,0.062038607952760866,0.43472222222222223,0.5652777777777778
gpt2-large,T,720,64,0.05571901888132822,0.043173021803827066,0.07626206116121383,0.6083333333333333,0.39166666666666666
opt-125m,full,144,64,0.09053742889308791,0.07909717042972833,0.10785408445122896,0.8055555555555556,0.19444444444444445
opt-125m,S_positive,144,64,0.06377079493132609,0.05775389451797468,0.06924701212966983,0.04861111111111111,0.9513888888888888
opt-125m,S_negative,144,64,0.05657173011147429,0.05224142293050797,0.060933275484898394,0.034722222222222224,0.9652777777777778
opt-125m,T,144,64,0.05558433962725193,0.05152153357457148,0.06112241442261401,0.034722222222222224,0.9652777777777778
opt-350m,full,384,64,0.0929867225074322,0.0787501779364877,0.11406972442835386,0.7916666666666666,0.20833333333333334
opt-350m,S_positive,384,64,0.07132544892728532,0.06243295950379626,0.08305303971279125,0.057291666666666664,0.9427083333333334
opt-350m,S_negative,384,64,0.05621942421886983,0.05043429424067062,0.06290019891245287,0.13020833333333334,0.8697916666666666
opt-350m,T,384,64,0.06018705123423645,0.05229689836290616,0.06864133589228905,0.07291666666666667,0.9270833333333334
opt-1.3b,full,768,64,0.09374716853011969,0.07782445766089167,0.11283909911271049,0.76953125,0.23046875
opt-1.3b,S_positive,768,64,0.07629193704126405,0.06989062031538555,0.08376024289718452,0.005208333333333333,0.9947916666666666
opt-1.3b,S_negative,768,64,0.06317921712189953,0.05725354676527944,0.07370747752287321,0.0,1.0
opt-1.3b,T,768,64,0.06551095459269637,0.06039598055466209,0.07489472474586198,0.0013020833333333333,0.9986979166666666
opt-2.7b,full,1024,80,0.08635902841692189,0.06964519051626335,0.10260921032571269,0.7333984375,0.2666015625
opt-2.7b,S_positive,1024,80,0.07519733032171214,0.0687722893279031,0.08151235326302674,0.001953125,0.998046875
