model,layer,head,kv_head,dim,symmetric_energy,balance,pairing,rho,pairing_bound,pairing_gap,lobe_departure,n_pos,n_neg,n_zero,a,b,c,d,b_sym,c_sym,d_sym,trace_ratio
distilgpt2,0,0,0,128,0.5208588461684999,1.0,0.8026870867649248,1.304116698045722,0.8149451562606859,0.012258069495761026,0.09852200758194606,64,64,0,0.47914115383149997,0.5005805686589435,0.00014645179423884288,0.020131825715317728,0.961067614270688,0.00028117367174650067,0.03865121205756578,1.044561827082072
distilgpt2,0,1,1,128,0.8118455354683142,1.0,0.14912293774186747,0.18769727399228714,0.20163878529319912,0.05251584755133165,0.6911564895409104,64,64,0,0.18815446453168605,0.22407604515624757,0.5877694903120665,0.0,0.2760082249229701,0.7239917750770298,0.0,5.979739720744151
distilgpt2,0,2,2,128,0.5210284939229293,1.0,0.833156249109173,1.2587904105172913,0.8390261121494468,0.005869863040273815,0.06285591838879312,64,64,0,0.47897150607707073,0.5065247085551373,0.00013335918195518952,0.014370426185836812,0.9721631627886798,0.00025595372136195694,0.027580883489958404,0.8075985302166454
distilgpt2,0,3,3,128,0.5360749956110824,1.0,0.3697753180963097,0.33759986363259736,0.37239997729771057,0.0026246592014008696,0.10437172269125262,64,64,0,0.4639250043889177,0.32315504038925497,0.2129199552218276,0.0,0.6028168503193927,0.39718314968060764,0.0,3.535486129851856
distilgpt2,0,4,4,128,0.4615191149755498,1.0,0.5982249829250068,0.5605291737617206,0.6166455729627771,0.0184205900377703,0.18414200078439885,64,64,0,0.5384808850244501,0.3870192390302106,0.07449987594533915,0.0,0.8385768356543889,0.16142316434561108,0.0,1.9309165438574636
distilgpt2,0,5,5,128,0.9299906508752431,1.0,0.052166282650382034,0.08635248078514807,0.08973996877082346,0.03757368612044143,0.9025089324340972,64,64,0,0.07000934912475702,0.09449750718114079,0.8354931436941022,0.0,0.10161124425520435,0.8983887557447955,0.0,7.116523358089769
distilgpt2,0,6,6,128,0.5457752015116184,1.0,0.7247836121725406,1.1732410385491177,0.8876217231244922,0.16283811095195155,0.3575540569030421,64,64,0,0.4542247984883815,0.5044359718315174,0.014386323718067485,0.026952905962033476,0.9242559398712055,0.026359430912621322,0.04938462921617319,1.0641950015702675
distilgpt2,0,7,7,128,0.49702994806261847,1.0,0.596730999161633,1.3137575856018604,0.8099645712055186,0.2132335720438856,0.512352226015481,64,64,0,0.5029700519373814,0.41620001187489436,0.019550504467788846,0.06127943171993545,0.8373741129628255,0.03933466090724531,0.12329122612992958,1.5720293174623743
distilgpt2,0,8,8,128,0.5261857194683514,1.0,0.771548319464809,1.3043066800053287,0.8148465384062735,0.04329821894146457,0.19258292185414339,64,64,0,0.47381428053164876,0.49872399713916304,0.002169602588779208,0.02529211974040906,0.9478098296606469,0.0041232639133029604,0.048066906426050035,1.1792767589898003
distilgpt2,0,9,9,128,0.7578888822374051,1.0,0.25495663544877945,1.9304759408598038,0.5720190755733078,0.31706244012452833,0.9542769639635115,64,64,0,0.24211111776259486,0.33719263433662416,0.0326754217373962,0.3880208261633852,0.4449103849381975,0.043113736727385825,0.5119758783344173,4.495523297401941
distilgpt2,0,10,10,128,0.831027633854681,1.0,0.10467866529314207,0.15033077806957218,0.15977203446139454,0.05509336916825247,0.8064862091638451,64,64,0,0.16897236614531871,0.1648756395798536,0.6661519942748273,0.0,0.19839970761872985,0.80160029238127,0.0,6.478416656904421
distilgpt2,0,11,11,128,0.5022387200896611,1.0,0.8354355685045243,1.1035461259788595,0.9304701504524097,0.09503458194788539,0.2114479877169709,64,64,0,0.4977612799103389,0.4886373662420429,0.00012804203372996268,0.013473311813888129,0.9729185478865706,0.0002549425773208092,0.026826509536108316,0.10728282199476107
distilgpt2,1,0,0,128,0.5935292243802218,1.0,0.5106611541000504,2.0095954621693437,0.5502223382570133,0.03956118415696286,0.3052035391447592,64,64,0,0.40647077561977835,0.4514071641548154,0.0,0.1421220602254068,0.760547493893306,0.0,0.23945250610669463,2.8854584879994554
distilgpt2,1,1,1,128,0.5229792211134027,1.0,0.7789296336213618,1.3065032639104888,0.8137076916178212,0.03477805799645939,0.1713279468449607,64,64,0,0.4770207788865972,0.4974201247174889,5.092455081669171e-05,0.02550817184509717,0.9511278931092149,9.737394672827592e-05,0.04877473294405703,1.2262447658636901
distilgpt2,1,2,2,128,0.5930653858468788,1.0,0.5375453147770033,1.7117035532180735,0.6409898072278912,0.10344449245088794,0.44169884686420274,64,64,0,0.4069346141531211,0.4662298509665325,0.0008013239664918377,0.1260342109138549,0.7861356641152996,0.0013511561888704263,0.21251317969583064,2.6980928447651826
distilgpt2,1,3,3,128,0.5814457185953954,1.0,0.5678204357912682,1.4889867190853476,0.727374775893515,0.15955434010224678,0.49291762830820607,64,64,0,0.41855428140460454,0.47284376655042865,0.002715250786390544,0.10588670125857663,0.8132208242803514,0.0046698267775533795,0.18210934894209602,2.3426176642234138
