model,layer,head,mu,nu,tau,k_plus,k_minus,k_T,mode_ratio,shape_ratio,sigma_lambda_correlation,geometric_mean_error
distilgpt2,0,0,-21.1867923624096,16.432640990186407,18.913669915239442,6.2815317225346385,5.5895294832873965,6.725924220795271,1.013653482112315,1.1350933140851638,0.9927185150964818,0.057082262430052454
distilgpt2,0,1,-3.029522705860571,44.715491220047525,13.794515173839658,12.184864903800674,1.9165443161088673,7.12361241632293,1.185196423623656,1.4741120287844895,0.8408200166784627,0.1475348799438958
distilgpt2,0,2,-19.76652915150895,17.152931414516885,18.781181898812743,7.245207069323052,5.066851521398764,7.226540859742965,1.0199726691961524,1.192713053885471,0.9899160881839166,0.05750018137424723
distilgpt2,0,3,-15.990143673796226,53.181545627316915,26.43433061299276,10.439360382236929,5.811224141163126,3.6923327993728945,0.9064871598880072,0.4740564715403726,0.9257005960628173,0.28599352136156114
distilgpt2,0,4,-17.595700019604998,31.005996598775017,21.208569770394316,11.010708425634938,10.716038174922256,4.242226256554808,0.9079987697002785,0.39054319104746427,0.9742087134827463,0.2625430492995012
distilgpt2,0,5,,58.91495564182034,8.815199784062864,8.139659890817976,0.9609821705904138,4.179714616116694,,1.4944652996733914,0.7701341298363813,0.22822631484975256
distilgpt2,0,6,-12.092631436897232,7.513832241007509,9.986584452955462,3.1399737700698305,5.456428195040642,5.162174823876146,1.0476731733491589,1.2471407678250281,0.9723724723386528,0.10441313169580833
distilgpt2,0,7,-29.402920625899206,15.529618264572836,21.464958647523467,3.6701273358843767,7.8389054098853,5.027926223009982,1.0045103830779814,0.9373906519901153,0.8760758512087066,0.2669397512621961
distilgpt2,0,8,-16.23131583337372,10.727859399766608,13.544740458632052,4.166532230572776,6.087897556358186,6.022433803080579,1.0264487894784244,1.1957791986588533,0.9918083072334415,0.04202866698624803
distilgpt2,0,9,-10.31357479132624,,3.229283295260838,0.7904444844608248,5.822538875255906,3.340760479698675,,1.557232483064617,0.7600230029677809,0.3078581495950135
distilgpt2,0,10,-0.12409433792866276,14.251607779186045,2.727853351433338,29.838604070662637,1.106198677485181,3.27518153569154,2.051224074969084,0.5700718006110387,0.7447279725581374,0.09640011668715442
distilgpt2,0,11,-1.2274609032560067,1.7984019341135105,1.517752662876648,1.4759527980409062,1.267922677260686,1.3636608064355322,1.0215362653393811,0.9968360586590814,0.9876921413068839,0.041888483572039406
distilgpt2,1,0,-10.172032034018093,2.9254219769991634,5.968371231800817,2.0630253906717106,4.582787801349567,3.64335287844272,1.0941017405303255,1.18490648480827,0.9806136630396767,0.0825894965787563
distilgpt2,1,1,-13.11531979574732,6.7197569749127934,9.775529386786774,2.080678660872258,3.4213136596798193,2.7921206492407613,1.0412956638853168,1.0464903507814158,0.9968333076655336,0.045067010812976496
